Код дефекта по каталогу;Группа;Название дефекта;Примечание;ед. изм.;нижняя граница;верхняя граница;Категории дефекта (Б);Категории дефекта (Д);Категории дефекта (Р);Категории дефекта (Г);Рекомендуемые дополняющие пояснения и параметры дефекта в фактических единицах или в % к размерам носителя дефекта;Материал элемента, конструкции носителя дефекта, причина появления и другие дополнительные пояснения к названию дефекта;Место расположения дефекта;Количественные параметры развития;Базовый
409;Опора; Опора схода;Деградационное разрушение бетона;Шелушение поверхностное;;;;0;1;2;0;Площадь дефекта;;Опора;0
409;Опора; Опора схода;Деградационное разрушение бетона;Обнажение зерен крупного заполнителя;;;;0;1;2;1;Площадь дефекта;;Опора;0
409;Опора; Опора схода;Деградационное разрушение бетона;С обнажением арматуры;;;;0;2;2;1;Площадь дефекта;;Опора;0
410;Опора; Опора схода;Трещины силовые;Раскрытие;мм;0,3;0,5;0;1;2;1;Длина трещин, число;;Опора;0
410;Опора; Опора схода;Трещины силовые;Раскрытие;мм;0,5;1;0;2;2;1;Длина трещин, число;;Опора;0
410;Опора; Опора схода;Трещины силовые;Раскрытие;мм;1;;0;3;2;1;Длина трещин, число;;Опора;0
411;Опора; Опора схода;Трещины технологические;Раскрытие;мм;0,3;0,7;0;1;2;1;Площадь пораженной части носителя дефекта;;Опора;0
411;Опора; Опора схода;Трещины технологические;Раскрытие;мм;0,7;2;0;2;2;1;Площадь пораженной части носителя дефекта;;Опора;0
411;Опора; Опора схода;Трещины технологические;Раскрытие;мм;2;;0;3;2;1;Площадь пораженной части носителя дефекта;;Опора;0
412;Опора; Опора схода;Трещины температурно-усадочные (технологические) поверхностные;Без конкретизации степени развития;;;;0;1;2;0;Площадь пораженной части носителя дефекта;;Опора;0
413;Опора; Опора схода;Коррозия конструктивной арматуры;Поверхностный налет окислов;;;;0;1;2;0;Площадь;;Опора;0
413;Опора; Опора схода;Коррозия конструктивной арматуры;С образованием толстых окислов;;;;0;2;2;0;Площадь;;Опора;0
414;Опора; Опора схода;Недостаточный защитный слой арматуры;Отдельные участки;;;;0;1;2;0;Площадь;;Опора;0
414;Опора; Опора схода;Недостаточный защитный слой арматуры;В целом для элемента конструкции;;;;0;1;2;0;Площадь;;Опора;0
415;Опора; Опора схода;Расслоение защитного слоя бетона в результате коррозии арматуры;Без конкретизации степени развития;;;;0;1;2;1;Площадь дефекта;К расслоению относят трещины в защитном слое, отслоения, сколы защитного слоя, возникшие вследствие коррозии арматуры;Опора;0
416;Опора; Опора схода;Бетон низкой прочности;Не менее 10 МПа;;;;0;1;3;1;Значение параметра;;Опора;0
416;Опора; Опора схода;Бетон низкой прочности;Менее 10 Мпа;;;;0;2;3;1;Значение параметра;;Опора;0
417;Опора; Опора схода;Бетон низкой плотности;Без конкретизации степени развития;;;;0;1;2;0;Значение параметра;;Опора;0
418;Опора; Опора схода;Разрушение кладки (сеть локальных трещин, сколы) под опираемой конструкцией;Без конкретизации степени развития;;;;0;3;3;1;Площадь дефекта;;Опора;0
419;Опора; Опора схода;Отсутствует конструкция объединения при её необходимости;В отдельных диафрагмах;;;;0;2;2;1;Количество;;Стык полудиафрагм смежных блоков;0
419;Опора; Опора схода;Отсутствует конструкция объединения при её необходимости;В группе соседних диафрагм;;;;0;3;2;1;Количество;;Стык полудиафрагм смежных блоков;0
420;Опора; Опора схода;Отсутствует омоноличивание;Локальные участки шва;;;;0;1;2;1;Длина;;Стык полудиафрагм смежных блоков;0
420;Опора; Опора схода;Отсутствует омоноличивание;На большей части длины шва;;;;0;2;2;1;Длина;;Стык полудиафрагм смежных блоков;0
421;Опора; Опора схода;Растрескивание раствора заполнения при объединении на стыковых накладках;В пределах высоты ребра диафрагмы;;;;0;0;2;0;Длина;;Стык полудиафрагм смежных блоков;0
421;Опора; Опора схода;Растрескивание раствора заполнения при объединении на стыковых накладках;В уровне плиты;;;;0;1;2;0;Длина;;Стык полудиафрагм смежных блоков;0
422;Опора; Опора схода;Растрескивание раствора заполнения при объединении напрягаемой арматурой;В отдельных диафрагмах;;;;0;2;3;1;Длина;;Стык полудиафрагм смежных блоков;0
422;Опора; Опора схода;Растрескивание раствора заполнения при объединении напрягаемой арматурой;В группе соседних диафрагм;;;;0;3;3;1;Длина;;Стык полудиафрагм смежных блоков;0
423;Опора; Опора схода;Отсутствует элемент (при его необходимости);Без конкретизации степени развития;;;;0;1;2;0;Название элемента, количество;;Сливная призма подферменной площадки, Боковая стенка ограждения подферменной площадки;0
424;Опора; Опора схода;Расстройство конструкции;Без конкретизации степени развития;;;;0;1;2;0;Пояснение;;Сливная призма подферменной площадки, Боковая стенка ограждения подферменной площадки;0
425;Опора; Опора схода;Разрушение бетона;Поверхностное (до 3 см);;;;0;1;2;0;Площадь пораженной части носителя дефекта;Бетонная;Основные несущие конструкции;0
425;Опора; Опора схода;Разрушение бетона;Глубокое. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;2;1;Площадь пораженной части носителя дефекта;Бетонная;Основные несущие конструкции;0
425;Опора; Опора схода;Разрушение бетона;Глубокое. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Площадь пораженной части носителя дефекта;Бетонная;Основные несущие конструкции;0
425;Опора; Опора схода;Разрушение бетона;Глубокое. Работоспособность конструкции утрачена;;;;4;4;3;1;Площадь пораженной части носителя дефекта;Бетонная;Основные несущие конструкции;0
426;Опора; Опора схода;Трещина вертикальная температурная в кладке;Раскрытие;мм;0,5;3;0;1;2;0;Длина трещин, число;;Основные несущие конструкции;0
426;Опора; Опора схода;Трещина вертикальная температурная в кладке;Раскрытие;мм;3;5;0;2;2;0;Длина трещин, число;;Основные несущие конструкции;0
426;Опора; Опора схода;Трещина вертикальная температурная в кладке;Раскрытие;мм;5;;0;3;2;0;Длина трещин, число;;Основные несущие конструкции;0
427;Опора; Опора схода;Трещина по шву бетонирования  кладки;Раскрытие;мм;0,5;3;0;1;2;0;Длина трещин, число;;Основные несущие конструкции;0
427;Опора; Опора схода;Трещина по шву бетонирования  кладки;Раскрытие;мм;3;;0;2;2;0;Длина трещин, число;;Основные несущие конструкции;0
428;Опора; Опора схода;Трещина в блоке;Отдельный блок;;;;0;1;2;0;Длина трещин, число;;Основные несущие конструкции;0
428;Опора; Опора схода;Трещина в блоке;Пересекающая группу блоков;;;;0;2;2;1;Длина трещин, число;;Основные несущие конструкции;0
428;Опора; Опора схода;Трещина в блоке;Раскрытие;мм;0,3;1;0;1;2;0;Длина трещин, число;;Основные несущие конструкции;0
428;Опора; Опора схода;Трещина в блоке;Раскрытие;мм;1;3;0;2;2;0;Длина трещин, число;;Основные несущие конструкции;0
428;Опора; Опора схода;Трещина в блоке;Раскрытие;мм;3;;0;3;2;1;Длина трещин, число;;Основные несущие конструкции;0
429;Опора; Опора схода;Сдвиг блока;Отдельный блок;;;;0;2;3;1;Величина смещения;;Основные несущие конструкции;0
429;Опора; Опора схода;Сдвиг блока;Группа блоков;;;;0;3;3;1;Величина смещения;;Основные несущие конструкции;0
430;Опора; Опора схода;Вывал блока;Без конкретизации степени развития;;;;0;3;3;1;Количество;;Основные несущие конструкции;0
431;Опора; Опора схода;Излом элемента конструкции;Работоспособность конструкции сохраняется;;;;0;1;2;1;Название элемента, количество;Подразумевается сломанная (надломленная) конструкция;Основные несущие конструкции;0
431;Опора; Опора схода;Излом элемента конструкции;Работоспособность конструкции ограничена;;;;0;3;3;1;Название элемента, количество;Подразумевается сломанная (надломленная) конструкция;Основные несущие конструкции;0
431;Опора; Опора схода;Излом элемента конструкции;Работоспособность конструкции утрачена;;;;4;4;3;1;Название элемента, количество;Подразумевается сломанная (надломленная) конструкция;Основные несущие конструкции;0
432;Опора; Опора схода;Расстройство раствора в швах кладки;Без конкретизации степени развития;;;;0;1;2;0;Площадь, глубина;;Основные несущие конструкции;0
433;Опора; Опора схода;Размыв нескального грунта основания массивного фундамента до уровня, при котором заглубление подошвы фундамента менее 1 м;Без конкретизации степени развития;;;;0;3;2;0;Размеры дефекта;;Фундамент опоры;0
434;Опора; Опора схода;Размыв нескального грунта основания свайного фундамента до уровня ниже расчетного;Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;1;Размеры дефекта;;Фундамент опоры;0
434;Опора; Опора схода;Размыв нескального грунта основания свайного фундамента до уровня ниже расчетного;Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Размеры дефекта;;Фундамент опоры;0
434;Опора; Опора схода;Размыв нескального грунта основания свайного фундамента до уровня ниже расчетного;Работоспособность конструкции утрачена;;;;4;4;3;1;Размеры дефекта;;Фундамент опоры;0
435;Опора; Опора схода;Трещина сквозная, расчленяющая конструкцию;Скол сегмента вне зоны восприятия усилий от опираемой конструкции;;;;0;3;3;1;Размеры дефекта;;Фундамент опоры: массивная конструкция фундаментной части опоры;0
435;Опора; Опора схода;Трещина сквозная, расчленяющая конструкцию;В зоне восприятия усилий от опираемой конструкции;;;;4;4;3;1;Размеры дефекта;;Фундамент опоры: массивная конструкция фундаментной части опоры;0
436;Опора; Опора схода;Сколы механические;Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;0;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
436;Опора; Опора схода;Сколы механические;Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
437;Опора; Опора схода;Скол силовой;Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;0;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
437;Опора; Опора схода;Скол силовой;Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
438;Опора; Опора схода;Раковины в бетоне;Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;0;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
438;Опора; Опора схода;Раковины в бетоне;Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Площадь, глубина;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
439;Опора; Опора схода;Разрушение бетона;Поверхностное (до 3 см);;;;0;1;2;0;Размеры дефекта;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
439;Опора; Опора схода;Разрушение бетона;Глубокое. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;2;1;Размеры дефекта;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
439;Опора; Опора схода;Разрушение бетона;Глубокое. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Размеры дефекта;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
439;Опора; Опора схода;Разрушение бетона;Глубокое. Работоспособность конструкции утрачена;;;;4;4;3;1;Размеры дефекта;Бетон;Фундамент опоры: массивная конструкция фундаментной части опоры бетонная;0
440;Опора; Опора схода;Трещины технологические вне зоны напряженной арматуры;Раскрытие;мм;0,3;1;0;1;2;0;Площадь пораженной части носителя дефекта;Бетон;Тело опоры;0
440;Опора; Опора схода;Трещины технологические вне зоны напряженной арматуры;Раскрытие;мм;1;3;0;2;2;0;Площадь пораженной части носителя дефекта;Бетон;Тело опоры;0
440;Опора; Опора схода;Трещины технологические вне зоны напряженной арматуры;Раскрытие;мм;3;;0;3;2;0;Площадь пораженной части носителя дефекта;Бетон;Тело опоры;0
440;Опора; Опора схода;8. Сход пешеходный;;;;;;;;;Площадь пораженной части носителя дефекта;Бетон;Тело опоры;0
441;Сход пешеходный;Отсутствует конструкция (при её необходимости);Без конкретизации степени развития;;;;3;0;3;0;Название элемента, количество;;Сход пешеходный;;0
442;Сход пешеходный;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от  нагрузок в % от расчетного пролета;%;0,25;0,4;0;1;3;0;Фактическое значение параметра;Имеются ввиду нагрузки от толпы;Сход пешеходный;;0
442;Сход пешеходный;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от нагрузок в % от расчетного пролета;%;0,4;0,8;1;1;3;0;Фактическое значение параметра;Имеются ввиду нагрузки от толпы;Сход пешеходный;;0
442;Сход пешеходный;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от нагрузок в % от расчетного пролета;%;0,8;;2;1;3;0;Фактическое значение параметра;Имеются ввиду нагрузки от толпы;Сход пешеходный;;0
443;Сход пешеходный;Коррозионное распучивание спаренных ребер жесткости составного сечения;Распучивание;мм;;1;0;1;2;0;Площадь пораженной части носителя дефекта;Несущие конструкции косоуров и опор;Сход пешеходный;;0
443;Сход пешеходный;Коррозионное распучивание спаренных ребер жесткости составного сечения;Распучивание;мм;1;10;0;2;2;0;Площадь пораженной части носителя дефекта;Несущие конструкции косоуров и опор;Сход пешеходный;;0
443;Сход пешеходный;Коррозионное распучивание спаренных ребер жесткости составного сечения;Распучивание;мм;10;;0;3;2;0;Площадь пораженной части носителя дефекта;Несущие конструкции косоуров и опор;Сход пешеходный;;0
443;Сход пешеходный;Коррозионное распучивание спаренных ребер жесткости составного сечения;Работоспособность конструкции ограничена;;;;0;3;3;1;Площадь пораженной части носителя дефекта;Несущие конструкции косоуров и опор;Сход пешеходный;;0
443;Сход пешеходный;Коррозионное распучивание спаренных ребер жесткости составного сечения;Работоспособность конструкции утрачена;;;;4;4;3;1;Площадь пораженной части носителя дефекта;Несущие конструкции косоуров и опор;Сход пешеходный;;0
444;Сход пешеходный;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;1;Фактическое значение параметра;;Сход пешеходный;;0
444;Сход пешеходный;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;0;3;3;1;Фактическое значение параметра;;Сход пешеходный;;0
444;Сход пешеходный;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Фактическое значение параметра;;Сход пешеходный;;0
445;Сход пешеходный;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;1;Фактическое значение параметра;;Сход пешеходный;;0
445;Сход пешеходный;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции ограничена;;;;0;3;3;1;Фактическое значение параметра;;Сход пешеходный;;0
445;Сход пешеходный;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Фактическое значение параметра;;Сход пешеходный;;0
446;Сход пешеходный;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;1;Фактическое значение параметра;Провисания, винтообразность;Сход пешеходный;;0
446;Сход пешеходный;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;0;3;3;1;Фактическое значение параметра;Провисания, винтообразность;Сход пешеходный;;0
446;Сход пешеходный;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Фактическое значение параметра;Провисания, винтообразность;Сход пешеходный;;0
447;Сход пешеходный;Несоответствие примененных материалов действующим нормативным требованиям;Без конкретизации степени развития;;;;0;3;3;1;Величина несоответствия;;Сход пешеходный;;0
448;Сход пешеходный;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;1;Величина несоответствия;;Сход пешеходный;;0
448;Сход пешеходный;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции ограничена;;;;0;3;3;1;Величина несоответствия;;Сход пешеходный;;0
449;Сход пешеходный;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции обеспечена;;;;0;1;0;1;Название элемента, количество;;Сход пешеходный;;0
449;Сход пешеходный;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции ограничена;;;;0;3;3;1;Название элемента, количество;;Сход пешеходный;;0
449;Сход пешеходный;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции утрачена;;;;4;4;3;1;Название элемента, количество;;Сход пешеходный;;0
450;Сход пешеходный;Отсутствует необходимый конструктивный элемент;Без конкретизации степени развития;;;;0;2;3;1;Название элемента, количество;;Сход пешеходный;;0
451;Сход пешеходный;Крен (отклонение от начального положения);Стабильное положение. Работоспособность конструкции сохраняется;;;;0;1;3;1;Угол отклонения;;Сход пешеходный;;0
451;Сход пешеходный;Крен (отклонение от начального положения);Стабильное положение. Работоспособность конструкции ограничена;;;;0;2;3;1;Угол отклонения;;Сход пешеходный;;0
451;Сход пешеходный;Крен (отклонение от начального положения);Нестабилизировавшиеся деформации;;;;0;3;3;1;Угол отклонения;;Сход пешеходный;;0
451;Сход пешеходный;Крен (отклонение от начального положения);Нет данных о динамике процесса;;;;0;3;3;1;Угол отклонения;;Сход пешеходный;;0
451;Сход пешеходный;Крен (отклонение от начального положения);Работоспособность конструкции утрачена;;;;4;4;3;1;Угол отклонения;;Сход пешеходный;;0
452;Сход пешеходный;Смещение в плане (отклонение от начального положения);Стабильное положение. Работоспособность конструкции сохраняется;;;;0;1;3;1;Величина смещения;;Сход пешеходный;;0
452;Сход пешеходный;Смещение в плане (отклонение от начального положения);Стабильное положение. Работоспособность конструкции ограничена;;;;0;2;3;1;Величина смещения;;Сход пешеходный;;0
452;Сход пешеходный;Смещение в плане (отклонение от начального положения);Нестабилизировавшиеся деформации;;;;0;3;3;1;Величина смещения;;Сход пешеходный;;0
452;Сход пешеходный;Смещение в плане (отклонение от начального положения);Нет данных о динамике процесса;;;;0;3;3;1;Величина смещения;;Сход пешеходный;;0
452;Сход пешеходный;Смещение в плане (отклонение от начального положения);Работоспособность конструкции утрачена;;;;4;4;3;1;Величина смещения;;Сход пешеходный;;0
453;Сход пешеходный;Просадка;Стабильное положение. Работоспособность конструкции сохраняется;;;;0;1;3;1;Величина смещения;;Сход пешеходный;;0
453;Сход пешеходный;Просадка;Стабильное положение. Работоспособность конструкции ограничена;;;;0;2;3;1;Величина смещения;;Сход пешеходный;;0
453;Сход пешеходный;Просадка;Нестабилизировавшиеся деформации;;;;0;3;3;1;Величина смещения;;Сход пешеходный;;0
453;Сход пешеходный;Просадка;Нет данных о динамике процесса;;;;0;3;3;1;Величина смещения;;Сход пешеходный;;0
453;Сход пешеходный;Просадка;Работоспособность конструкции утрачена;;;;4;4;3;1;Величина смещения;;Сход пешеходный;;0
454;Сход пешеходный;Выпучивание;Стабильное положение. Работоспособность конструкции сохраняется;;;;0;1;3;1;Размеры дефекта;;Сход пешеходный;;0
454;Сход пешеходный;Выпучивание;Стабильное положение. Работоспособность конструкции ограничена;;;;0;2;3;1;Размеры дефекта;;Сход пешеходный;;0
454;Сход пешеходный;Выпучивание;Нестабилизировавшиеся деформации;;;;0;3;3;1;Размеры дефекта;;Сход пешеходный;;0
454;Сход пешеходный;Выпучивание;Нет данных о динамике процесса;;;;0;3;3;1;Размеры дефекта;;Сход пешеходный;;0
454;Сход пешеходный;Выпучивание;Работоспособность конструкции утрачена;;;;4;4;3;1;Размеры дефекта;;Сход пешеходный;;0
455;Сход пешеходный;Обрушение конструкции;Без конкретизации степени развития;;;;4;4;4;1;Пояснение;;Сход пешеходный;;0
455;Сход пешеходный;9.  Водоотвод для сооружения;;;;;;;;;Пояснение;;Сход пешеходный;;0
456;Водоотвод для сооружения;Неорганизованный сброс воды с сооружения;Без конкретизации степени развития;;;;0;1;2;0;Площадь неорганизованного сброса;;Водоотвод для сооружения;;0
457;Водоотвод для сооружения;Течи и капеж на пересекаемую дорогу;Без конкретизации степени развития;;;;1;0;2;0;Площадь неорганизованного сброса;;Водоотвод для сооружения;;0
458;Водоотвод для сооружения;Течи и капеж над линией электропередач;Без конкретизации степени развития;;;;3;0;2;0;Площадь неорганизованного сброса;;Водоотвод для сооружения;;0
459;Водоотвод для сооружения;Застой воды в зоне эксплуатационной ответственности;Затруднения эксплуатационных мероприятий;;;;1;0;2;0;Площадь;В границах зоны выполнения работ нормативного содержания;Водоотвод для сооружения;;0
459;Водоотвод для сооружения;Застой воды в зоне эксплуатационной ответственности;Обводнение конструкций;;;;0;1;2;0;Площадь;В границах зоны выполнения работ нормативного содержания;Водоотвод для сооружения;;0
460;Водоотвод для сооружения;Недостаточные водоотводящие поперечные уклоны при продольном уклоне до 10 о/оо;Уклон;о/оо;;19;1;1;2;0;Фактическое значение параметра;;Водоотвод для сооружения;;0
461;Водоотвод для сооружения;Недостаточные водоотводящие уклоны при продольном уклоне более 10 о/оо;Геометрическая сумма уклонов;о/оо;;19;1;1;2;0;Фактическое значение параметра;;Водоотвод для сооружения;;0
462;Водоотвод для сооружения;Общий продольный уклон покрытия менее 5 о/оо;Без конкретизации степени развития;;;;1;1;3;0;Фактическое значение параметра;Суммарный продольный и поперечный уклон покрытия в пределах площади проезда;Водоотвод для сооружения;;0
463;Водоотвод для сооружения;Отсутствуют водоотводные трубки (при их необходимости);Без конкретизации степени развития;;;;1;1;2;0;Количество;;Водоотвод для сооружения;;0
464;Водоотвод для сооружения;Диаметр водоотводной трубки менее 150 мм;Без конкретизации степени развития;;;;1;1;2;0;Фактическое значение параметра, количество;;Водоотвод для сооружения;;0
465;Водоотвод для сооружения;Увеличенное расстояние между водоотводными трубками;Более 6 м при продольном уклоне покрытия до 5 о/оо;;;;1;1;2;0;Фактическое значение параметра;;Водоотвод для сооружения;;0
465;Водоотвод для сооружения;Увеличенное расстояние между водоотводными трубками;Более 12 м при продольном уклоне покрытия 5-10 о/оо;;;;1;1;2;0;Фактическое значение параметра;;Водоотвод для сооружения;;0
466;Водоотвод для сооружения;Верх водоотводной трубки выше поверхности прилегающего покрытия;Без конкретизации степени развития;;;;1;1;2;0;Количество;;Водоотвод для сооружения;;0
467;Водоотвод для сооружения;Закупорка водоотводного отверстия;Без конкретизации степени развития;;;;1;1;1;0;Количество;;Водоотвод для сооружения;;0
468;Водоотвод для сооружения;Не устроено монтажное отверстие водоотводной трубки;Без конкретизации степени развития;;;;0;1;2;0;Количество;;Водоотвод для сооружения;;0
469;Водоотвод для сооружения;Расстройство конструкции водоотводной трубки;Работоспособность конструкции сохраняется;;;;0;1;2;0;Количество;;Водоотвод для сооружения;;0
469;Водоотвод для сооружения;Расстройство конструкции водоотводной трубки;Работоспособность конструкции ограничена;;;;1;1;2;0;Количество;;Водоотвод для сооружения;;0
470;Водоотвод для сооружения;Отсутствует дренажная система (при её необходимости);Без конкретизации степени развития;;;;0;1;2;0;Длина;;Водоотвод для сооружения;;0
471;Водоотвод для сооружения;Нарушение функционирования дренажной системы;Без конкретизации степени развития;;;;0;1;2;0;Длина;;Водоотвод для сооружения;;0
472;Водоотвод для сооружения;Отсутствует водонаправляющая конструкция (при её необходимости);Без конкретизации степени развития;;;;1;1;2;0;Длина;;Водоотвод для сооружения;;0
473;Водоотвод для сооружения;Недостаточный уклон водонаправляющей конструкции;Без конкретизации степени развития;;;;0;1;2;0;Значение параметра;;Водоотвод для сооружения;;0
474;Водоотвод для сооружения;Закупорка водоотводного отверстия;Без конкретизации степени развития;;;;1;1;2;0;Количество;;Водоотвод для сооружения;;0
475;Водоотвод для сооружения;Расстройство водонаправляющей конструкции;Работоспособность конструкции сохраняется;;;;0;1;2;0;Количество;;Водоотвод для сооружения;;0
475;Водоотвод для сооружения;Расстройство водонаправляющей конструкции;Работоспособность конструкции ограничена;;;;1;1;2;0;Количество;;Водоотвод для сооружения;;0
476;Водоотвод для сооружения;Отсутствует конструкция (при её необходимости);Без конкретизации степени развития;;;;0;1;2;0;Длина;;Водоотвод для сооружения: Защитные карнизные козырьки;;0
477;Водоотвод для сооружения;Расстройство конструкции;Без конкретизации степени развития;;;;0;1;2;0;Длина;;Водоотвод для сооружения: Защитные карнизные козырьки;;0
478;Водоотвод для сооружения;Отсутствует конструкция (при её необходимости);Без конкретизации степени развития;;;;0;3;2;0;Длина;;Водоотвод для сооружения: Лоток откосный;;0
479;Водоотвод для сооружения;Отсутствует конструкция (при её необходимости);Без конкретизации степени развития;;;;1;3;2;0;Длина;;Дренажная система ООС;;0
480;Водоотвод для сооружения;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции обеспечена;;;;0;1;0;0;Значение параметра;;Водоотвод для сооружения: Лоток откосный, кюветный, Антисейсмические обустройства;;0
480;Водоотвод для сооружения;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции ограничена;;;;0;2;2;0;Значение параметра;;Водоотвод для сооружения: Лоток откосный, кюветный, Антисейсмические обустройства;;0
480;Водоотвод для сооружения;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции утрачена;;;;0;3;2;0;Значение параметра;;Водоотвод для сооружения: Лоток откосный, кюветный, Антисейсмические обустройства;;0
481;Водоотвод для сооружения;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Водоотвод для сооружения: Лоток откосный, кюветный, Антисейсмические обустройства;;0
